"";"Platform";"Year";"Genre";"Rating";"PublisherR";"Critic_Score";"Critic_Count";"Global_Sales"
"1";"X360";"2010";"Misc";"E";"Other";61;45;21,81
"2";"PS3";"2013";"Action";"M";"Take-Two";97;50;21,04
"3";"X360";"2013";"Action";"M";"Take-Two";97;58;16,27
"4";"X360";"2011";"Shooter";"M";"Activision";88;81;14,73
"5";"X360";"2010";"Shooter";"M";"Activision";87;89;14,61
"6";"PS3";"2012";"Shooter";"M";"Activision";83;21;13,79
"7";"X360";"2012";"Shooter";"M";"Activision";83;73;13,67
"8";"PS3";"2011";"Shooter";"M";"Activision";88;39;13,32
"9";"3DS";"2011";"Racing";"E";"Other";85;73;12,66
"10";"PS3";"2010";"Shooter";"M";"Activision";88;58;12,63
"11";"PS4";"2014";"Action";"M";"Take-Two";97;66;12,61
"12";"3DS";"2011";"Platform";"E";"Other";90;82;10,81
"13";"PS3";"2010";"Racing";"E";"Other";84;82;10,7
"14";"X360";"2013";"Shooter";"M";"Activision";73;29;10,25
"15";"Wii";"2011";"Misc";"E10+";"Ubisoft";74;15;10,12
"16";"3DS";"2012";"Platform";"E";"Other";78;70;9,9
"17";"X360";"2010";"Shooter";"M";"Other";91;99;9,86
"18";"X360";"2012";"Shooter";"M";"Other";87;87;9,71
"19";"Wii";"2010";"Misc";"E10+";"Ubisoft";74;24;9,44
"20";"PS3";"2013";"Shooter";"M";"Activision";71;10;9,36
"21";"3DS";"2012";"Simulation";"E";"Other";88;70;9,16
"22";"X360";"2011";"Role-Playing";"M";"Other";96;89;8,79
"23";"PS4";"2015";"Sports";"E";"Electronic Arts";82;42;8,57
"24";"Wii";"2010";"Misc";"E";"Other";68;42;8,38
"25";"PS3";"2012";"Action";"E";"Electronic Arts";88;37;8,16
"26";"PS4";"2014";"Shooter";"M";"Activision";83;39;7,66
"27";"Wii";"2010";"Platform";"E";"Other";97;87;7,51
"28";"X360";"2011";"Shooter";"M";"Electronic Arts";84;57;7,32
"29";"PS3";"2011";"Shooter";"M";"Electronic Arts";85;38;7,17
"30";"PS4";"2015";"Role-Playing";"M";"Other";87;58;7,16
"31";"Wii";"2012";"Misc";"E10+";"Ubisoft";74;10;6,76
"32";"PS3";"2011";"Action";"T";"Other";92;97;6,74
"33";"PS3";"2010";"Action";"M";"Take-Two";95;73;6,49
"34";"PS3";"2013";"Sports";"E";"Electronic Arts";86;37;6,47
"35";"PS3";"2012";"Action";"M";"Ubisoft";85;41;6,45
"36";"Wii";"2010";"Platform";"E";"Other";87;77;6,44
"37";"PS3";"2011";"Role-Playing";"M";"Other";92;16;6,41
"38";"X360";"2010";"Action";"M";"Take-Two";95;96;6,32
"39";"X360";"2011";"Shooter";"M";"Other";91;96;6,21
"40";"X360";"2010";"Sports";"E10+";"Other";73;51;6,19
"41";"PS4";"2014";"Sports";"E";"Electronic Arts";82;47;6,08
"42";"PS3";"2013";"Action";"M";"Other";95;98;5,87
"43";"PS4";"2014";"Shooter";"T";"Activision";76;95;5,64
"44";"PS3";"2011";"Action";"T";"Other";96;42;5,48
"45";"XOne";"2014";"Action";"M";"Take-Two";97;14;5,48
"46";"X360";"2012";"Action";"M";"Ubisoft";84;61;5,29
"47";"XOne";"2014";"Shooter";"M";"Activision";81;53;5,27
"48";"X360";"2012";"Action";"E";"Electronic Arts";90;48;5,16
"49";"PC";"2012";"Role-Playing";"M";"Activision";88;86;5,14
"50";"X360";"2010";"Role-Playing";"M";"Other";80;88;5,1
"51";"PS3";"2010";"Sports";"E";"Electronic Arts";89;51;5,07
"52";"PC";"2010";"Strategy";"T";"Activision";93;82;4,84
"53";"PS3";"2010";"Action";"M";"Other";92;101;4,8
"54";"X360";"2011";"Action";"T";"Other";94;87;4,73
"55";"PS4";"2015";"Action";"T";"Other";86;78;4,62
"56";"3DS";"2013";"Action";"E";"Other";86;74;4,59
"57";"X360";"2011";"Racing";"E";"Other";91;83;4,57
"58";"XOne";"2015";"Shooter";"T";"Other";84;101;4,48
"59";"Wii";"2010";"Misc";"E10+";"Ubisoft";56;37;4,36
"60";"PS3";"2011";"Action";"M";"Ubisoft";80;39;4,22
"61";"XOne";"2015";"Role-Playing";"M";"Other";88;39;4,22
"62";"X360";"2013";"Sports";"E";"Electronic Arts";84;41;4,22
"63";"X360";"2011";"Action";"M";"Ubisoft";80;77;4,19
"64";"X360";"2010";"Role-Playing";"M";"Other";84;81;4,05
"65";"PS4";"2014";"Action";"M";"Ubisoft";80;80;4,05
"66";"PS4";"2014";"Shooter";"M";"Ubisoft";85;83;4,04
"67";"PS4";"2015";"Role-Playing";"M";"Namco";92;79;3,97
"68";"PS4";"2014";"Action";"M";"Ubisoft";70;40;3,96
"69";"PS4";"2015";"Action";"M";"Other";87;89;3,95
"70";"Wii";"2011";"Action";"E10+";"Other";93;81;3,95
"71";"3DS";"2014";"Role-Playing";"T";"Other";86;80;3,89
"72";"PC";"2011";"Role-Playing";"M";"Other";94;32;3,88
"73";"PS4";"2015";"Sports";"E10+";"Take-Two";87;51;3,88
"74";"PS3";"2010";"Sports";"E10+";"Other";76;64;3,84
"75";"PS4";"2013";"Shooter";"M";"Activision";78;49;3,83
"76";"PS3";"2013";"Action";"M";"Ubisoft";88;36;3,71
"77";"PS4";"2013";"Shooter";"M";"Electronic Arts";85;18;3,59
"78";"X360";"2010";"Sports";"E";"Electronic Arts";88;66;3,52
"79";"XOne";"2014";"Action";"M";"Ubisoft";72;59;3,5
"80";"X360";"2010";"Action";"M";"Ubisoft";89;81;3,49
"81";"PS3";"2013";"Shooter";"M";"Electronic Arts";80;14;3,49
"82";"X360";"2013";"Shooter";"M";"Electronic Arts";79;21;3,48
"83";"X360";"2010";"Shooter";"M";"Electronic Arts";88;75;3,47
"84";"PS4";"2015";"Action";"M";"Other";93;86;3,41
"85";"PS3";"2011";"Platform";"E";"Other";91;86;3,39
"86";"PS4";"2015";"Action";"M";"Ubisoft";76;86;3,39
"87";"XOne";"2014";"Shooter";"T";"Activision";75;11;3,37
"88";"PS3";"2012";"Shooter";"M";"Ubisoft";90;32;3,35
"89";"X360";"2013";"Action";"M";"Ubisoft";86;35;3,3
"90";"XOne";"2015";"Shooter";"M";"Other";82;74;3,28
"91";"XOne";"2015";"Sports";"E";"Electronic Arts";84;45;3,25
"92";"PS4";"2015";"Sports";"E";"Electronic Arts";83;37;3,24
"93";"PS3";"2013";"Racing";"E";"Other";81;81;3,23
"94";"XOne";"2014";"Shooter";"M";"Other";85;69;3,23
"95";"X360";"2010";"Misc";"T";"Other";82;63;3,17
"96";"PS3";"2011";"Adventure";"M";"Take-Two";89;78;3,17
"97";"Wii";"2012";"Misc";"E";"Other";73;45;3,13
"98";"PS3";"2010";"Role-Playing";"M";"Other";82;57;3,11
"99";"3DS";"2013";"Action";"E";"Other";91;81;3,1
"100";"PS3";"2012";"Shooter";"M";"Other";74;34;3,1
"101";"X360";"2010";"Role-Playing";"M";"Electronic Arts";96;98;3,1
"102";"3DS";"2015";"Simulation";"E";"Other";66;60;3,05
"103";"PC";"2014";"Simulation";"T";"Electronic Arts";70;74;3,05
"104";"X360";"2012";"Shooter";"M";"Take-Two";89;59;3,05
"105";"X360";"2012";"Role-Playing";"M";"Electronic Arts";93;74;3,04
"106";"PS3";"2010";"Adventure";"M";"Other";87;107;3,03
"107";"PS4";"2013";"Sports";"E";"Electronic Arts";87;26;3,01
"108";"X360";"2012";"Shooter";"M";"Ubisoft";91;39;3
"109";"Wii";"2010";"Platform";"E";"Other";73;78;3
"110";"X360";"2012";"Sports";"E";"Take-Two";88;41;3
"111";"PC";"2011";"Role-Playing";"T";"Electronic Arts";85;73;2,96
"112";"PS4";"2014";"Action";"M";"Other";84;85;2,96
"113";"XOne";"2014";"Shooter";"M";"Electronic Arts";86;68;2,95
"114";"PS3";"2010";"Shooter";"M";"Electronic Arts";88;59;2,95
"115";"XOne";"2013";"Shooter";"M";"Activision";78;7;2,92
"116";"X360";"2012";"Sports";"E";"Electronic Arts";81;36;2,86
"117";"PS4";"2013";"Action";"M";"Ubisoft";83;29;2,85
"118";"PS3";"2011";"Fighting";"M";"Other";84;60;2,84
"119";"PS3";"2010";"Action";"M";"Ubisoft";90;59;2,82
"120";"PS3";"2010";"Shooter";"M";"Electronic Arts";75;56;2,81
"121";"PS4";"2014";"Action";"T";"Other";80;90;2,79
"122";"PS3";"2010";"Racing";"E10+";"Electronic Arts";89;59;2,78
"123";"Wii";"2011";"Action";"E10+";"Activision";81;11;2,78
"124";"PC";"2011";"Shooter";"M";"Electronic Arts";89;61;2,78
"125";"PS4";"2015";"Fighting";"M";"Other";83;81;2,78
"126";"PS3";"2011";"Shooter";"M";"Other";84;85;2,77
"127";"X360";"2011";"Action";"M";"Other";84;70;2,76
"128";"X360";"2011";"Adventure";"M";"Take-Two";89;83;2,7
"129";"X360";"2011";"Sports";"E";"Electronic Arts";78;55;2,69
"130";"PS4";"2013";"Shooter";"M";"Other";73;88;2,69
"131";"X360";"2010";"Sports";"E";"Electronic Arts";84;47;2,69
"132";"PS3";"2011";"Role-Playing";"T";"Other";79;53;2,63
"133";"X360";"2010";"Sports";"T";"Electronic Arts";80;65;2,63
"134";"X360";"2011";"Sports";"E";"Take-Two";90;42;2,62
"135";"X360";"2010";"Shooter";"M";"Electronic Arts";74;71;2,61
"136";"PS3";"2012";"Sports";"E";"Electronic Arts";83;22;2,56
"137";"X360";"2013";"Sports";"E";"Take-Two";87;23;2,52
